ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
8021470	0.0000466	1.40e-09	2.73e+02	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
7922976	0.0014606	1.19e-07	1.11e+02	PTGS2	prostaglandin-endoperoxide synthase 2
8118142	0.0014606	2.62e-07	9.46e+01	TNF	tumor necrosis factor
8177983	0.0014606	2.62e-07	9.46e+01	TNF	tumor necrosis factor
8179263	0.0014606	2.62e-07	9.46e+01	TNF	tumor necrosis factor
7929047	0.0014606	2.63e-07	9.45e+01	IFIT2	interferon induced protein with tetratricopeptide repeats 2
8160360	0.0025668	5.40e-07	8.14e+01	IFNB1	interferon beta 1
7929052	0.0030075	7.23e-07	7.66e+01	IFIT3	interferon induced protein with tetratricopeptide repeats 3
8014316	0.0041709	1.13e-06	6.97e+01	CCL5	C-C motif chemokine ligand 5
7929065	0.014675	4.41e-06	5.22e+01	IFIT1	interferon induced protein with tetratricopeptide repeats 1
7896725	0.0296362	9.79e-06	4.39e+01		
8101126	0.0312602	1.13e-05	4.26e+01	CXCL10	C-X-C motif chemokine ligand 10
8048864	0.0657695	2.57e-05	3.54e+01	CCL20	C-C motif chemokine ligand 20
8006608	0.1034077	4.35e-05	3.15e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8160419	0.1046819	4.72e-05	3.09e+01	IFNA13	interferon alpha 13
8083690	0.1229276	5.91e-05	2.93e+01	IL12A	interleukin 12A
7896817	0.1238543	6.38e-05	2.88e+01	ISG15	ISG15 ubiquitin-like modifier
8028613	0.1238543	6.70e-05	2.85e+01	IFNL1	interferon lambda 1
8014369	0.1465449	8.36e-05	2.71e+01	CCL3	C-C motif chemokine ligand 3
8081386	0.1836254	1.19e-04	2.49e+01	NFKBIZ	NFKB inhibitor zeta
8014391	0.1836254	1.27e-04	2.45e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8014414	0.1836254	1.27e-04	2.45e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8019731	0.1836254	1.27e-04	2.45e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8101131	0.1875221	1.35e-04	2.42e+01	CXCL11	C-X-C motif chemokine ligand 11
8101118	0.2019929	1.52e-04	2.35e+01	CXCL9	C-X-C motif chemokine ligand 9
7896712	0.2228015	1.78e-04	2.26e+01		
7892501	0.2228015	1.81e-04	2.25e+01		
8042503	0.243744	2.05e-04	2.19e+01	MXD1	MAX dimerization protein 1
8105828	0.2616441	2.28e-04	2.13e+01	CCNB1	cyclin B1
8086330	0.3417115	3.16e-04	1.97e+01	CSRNP1	cysteine and serine rich nuclear protein 1
8056285	0.3417115	3.18e-04	1.96e+01	IFIH1	interferon induced with helicase C domain 1
7967117	0.3774327	3.70e-04	1.89e+01	OASL	2'-5'-oligoadenylate synthetase like
8006621	0.3774327	3.85e-04	1.87e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8019651	0.3774327	3.85e-04	1.87e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8096361	0.400122	4.21e-04	1.83e+01	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
8083594	0.4020462	4.52e-04	1.80e+01	PTX3	pentraxin 3
7951672	0.4020462	4.53e-04	1.80e+01	PIH1D2	PIH1 domain containing 2
8154627	0.4020462	4.59e-04	1.79e+01	IFNA21///IFNA17///IFNA14///IFNA13///IFNA10///IFNA6///IFNA1	interferon alpha 21///interferon alpha 17///interferon alpha 14///interferon alpha 13///interferon alpha 10///interferon alpha 6///interferon alpha 1
8052654	0.4136478	4.84e-04	1.77e+01	PELI1	pellino E3 ubiquitin protein ligase 1
7981976	0.4810871	5.78e-04	1.69e+01	SNORD116-14	small nucleolar RNA, C/D box 116-14
8030128	0.5274744	6.50e-04	1.64e+01	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
7917561	0.6932046	8.81e-04	1.52e+01	GBP4	guanylate binding protein 4
7902512	0.6932046	8.95e-04	1.51e+01	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
8062284	0.7578298	1.02e-03	1.46e+01		
7895503	0.7578298	1.04e-03	1.45e+01		
7893900	0.7578298	1.05e-03	1.45e+01		
8163002	0.8101111	1.14e-03	1.42e+01	KLF4	Kruppel like factor 4
8122265	0.8356511	1.23e-03	1.39e+01	TNFAIP3	TNF alpha induced protein 3
8146092	0.8356511	1.23e-03	1.39e+01	IDO1	indoleamine 2,3-dioxygenase 1
7917576	0.8689038	1.30e-03	1.37e+01	GBP5	guanylate binding protein 5
7926677	0.9114184	1.42e-03	1.34e+01	OTUD1	OTU deubiquitinase 1
7896695	0.9114184	1.42e-03	1.33e+01		
8092348	0.9753698	1.55e-03	1.30e+01	LAMP3	lysosomal associated membrane protein 3
7894760	0.9999946	1.67e-03	1.28e+01		
7893128	0.9999946	1.71e-03	1.27e+01		
8097461	0.9999946	1.72e-03	1.27e+01	NOCT	nocturnin
8154622	0.9999946	1.73e-03	1.27e+01	IFNA8	interferon alpha 8
7895831	0.9999946	1.77e-03	1.26e+01		
8006453	0.9999946	1.81e-03	1.25e+01	CCL8	C-C motif chemokine ligand 8
8094359	0.9999946	1.92e-03	1.23e+01		
7896283	0.9999946	1.95e-03	1.22e+01		
7978644	0.9999946	2.03e-03	1.21e+01	NFKBIA	NFKB inhibitor alpha
7926900	0.9999946	2.08e-03	1.20e+01	MAP3K8	mitogen-activated protein kinase kinase kinase 8
7894102	0.9999946	2.09e-03	1.20e+01		
7894276	0.9999946	2.20e-03	1.18e+01		
7894741	0.9999946	2.27e-03	1.17e+01		
8095680	0.9999946	2.43e-03	1.15e+01	CXCL8	C-X-C motif chemokine ligand 8
7893325	0.9999946	2.52e-03	1.14e+01		
7894670	0.9999946	2.60e-03	1.13e+01		
7893185	0.9999946	2.61e-03	1.13e+01		
7894089	0.9999946	2.72e-03	1.11e+01		
7896408	0.9999946	2.77e-03	1.11e+01		
7979033	0.9999946	2.85e-03	1.10e+01	SAV1	salvador family WW domain containing protein 1
7895350	0.9999946	2.96e-03	1.09e+01		
8018864	0.9999946	3.08e-03	1.08e+01	SOCS3	suppressor of cytokine signaling 3
7929072	0.9999946	3.21e-03	1.06e+01	IFIT5	interferon induced protein with tetratricopeptide repeats 5
7999423	0.9999946	3.35e-03	1.05e+01	SOCS1	suppressor of cytokine signaling 1
