ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
8021470	0.0000246	7.38e-10	2.28e+02	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
7922976	0.0004751	4.44e-08	1.07e+02	PTGS2	prostaglandin-endoperoxide synthase 2
8118142	0.0004751	8.48e-08	9.52e+01	TNF	tumor necrosis factor
8177983	0.0004751	8.48e-08	9.52e+01	TNF	tumor necrosis factor
8179263	0.0004751	8.48e-08	9.52e+01	TNF	tumor necrosis factor
7929047	0.0004751	9.50e-08	9.32e+01	IFIT2	interferon induced protein with tetratricopeptide repeats 2
8160360	0.0004751	9.99e-08	9.23e+01	IFNB1	interferon beta 1
8014316	0.0014662	3.75e-07	7.19e+01	CCL5	C-C motif chemokine ligand 5
7929052	0.0014662	3.96e-07	7.11e+01	IFIT3	interferon induced protein with tetratricopeptide repeats 3
8101126	0.0055685	1.67e-06	5.39e+01	CXCL10	C-X-C motif chemokine ligand 10
7929065	0.0062676	2.07e-06	5.16e+01	IFIT1	interferon induced protein with tetratricopeptide repeats 1
7896725	0.0210636	7.59e-06	3.99e+01		
8101131	0.045073	1.86e-05	3.32e+01	CXCL11	C-X-C motif chemokine ligand 11
8048864	0.045073	1.92e-05	3.30e+01	CCL20	C-C motif chemokine ligand 20
7896712	0.045073	2.03e-05	3.26e+01		
8006608	0.0502926	2.42e-05	3.14e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8083690	0.066574	3.40e-05	2.93e+01	IL12A	interleukin 12A
8101118	0.0846969	4.58e-05	2.75e+01	CXCL9	C-X-C motif chemokine ligand 9
8014369	0.1061846	6.47e-05	2.55e+01	CCL3	C-C motif chemokine ligand 3
8014391	0.1061846	7.29e-05	2.49e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8014414	0.1061846	7.29e-05	2.49e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8019731	0.1061846	7.29e-05	2.49e+01	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3
8160419	0.1061846	7.33e-05	2.48e+01	IFNA13	interferon alpha 13
8081386	0.1072776	7.73e-05	2.45e+01	NFKBIZ	NFKB inhibitor zeta
7896817	0.115144	8.65e-05	2.39e+01	ISG15	ISG15 ubiquitin-like modifier
8154627	0.1622762	1.27e-04	2.20e+01	IFNA21///IFNA17///IFNA14///IFNA13///IFNA10///IFNA6///IFNA1	interferon alpha 21///interferon alpha 17///interferon alpha 14///interferon alpha 13///interferon alpha 10///interferon alpha 6///interferon alpha 1
8028613	0.1638837	1.33e-04	2.18e+01	IFNL1	interferon lambda 1
8042503	0.2021113	1.70e-04	2.06e+01	MXD1	MAX dimerization protein 1
8056285	0.2110214	1.93e-04	2.00e+01	IFIH1	interferon induced with helicase C domain 1
7967117	0.2110214	2.03e-04	1.98e+01	OASL	2'-5'-oligoadenylate synthetase like
7951672	0.2110214	2.09e-04	1.97e+01	PIH1D2	PIH1 domain containing 2
8006621	0.2110214	2.17e-04	1.95e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8019651	0.2110214	2.17e-04	1.95e+01	CCL4L1///CCL4L2///CCL4///CCL4L1	C-C motif chemokine ligand 4 like 1///C-C motif chemokine ligand 4 like 2///C-C motif chemokine ligand 4///C-C motif chemokine ligand 4 like 1
8105828	0.2110214	2.21e-04	1.94e+01	CCNB1	cyclin B1
7892501	0.2110214	2.22e-04	1.94e+01		
8096361	0.2131563	2.30e-04	1.92e+01	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
8086330	0.2463401	2.74e-04	1.85e+01	CSRNP1	cysteine and serine rich nuclear protein 1
8052654	0.2651756	3.03e-04	1.81e+01	PELI1	pellino E3 ubiquitin protein ligase 1
